# Preset Configuration File
layer_num=0,v=5.3,r=6370
layer_num=167,v=8.252666666666666,r=6203
layer_num=168,v=8.257333333333333,r=6202
layer_num=169,v=8.262,r=6201
layer_num=170,v=8.266666666666666,r=6200
layer_num=171,v=8.271333333333333,r=6199
layer_num=172,v=8.276,r=6198
layer_num=173,v=8.280666666666667,r=6197
layer_num=174,v=8.285333333333334,r=6196
layer_num=175,v=8.29,r=6195
layer_num=176,v=8.294666666666666,r=6194
layer_num=177,v=8.299333333333333,r=6193
layer_num=178,v=8.304,r=6192
layer_num=179,v=8.308666666666667,r=6191
layer_num=180,v=8.313333333333333,r=6190
layer_num=181,v=8.318,r=6189
layer_num=182,v=8.322666666666667,r=6188
layer_num=183,v=8.327333333333334,r=6187
layer_num=184,v=8.332,r=6186
layer_num=185,v=8.336666666666666,r=6185
layer_num=186,v=8.341333333333333,r=6184
layer_num=187,v=8.346,r=6183
layer_num=188,v=8.350666666666667,r=6182
layer_num=189,v=8.355333333333334,r=6181
layer_num=190,v=8.36,r=6180
layer_num=191,v=8.364666666666666,r=6179
layer_num=192,v=8.369333333333334,r=6178
layer_num=193,v=8.374,r=6177
layer_num=194,v=8.378666666666666,r=6176
layer_num=195,v=8.383333333333333,r=6175
layer_num=196,v=8.388,r=6174
layer_num=197,v=8.392666666666667,r=6173
layer_num=198,v=8.397333333333334,r=6172
layer_num=199,v=8.402,r=6171
layer_num=200,v=8.406666666666666,r=6170
layer_num=201,v=8.411333333333333,r=6169
layer_num=202,v=8.416,r=6168
layer_num=203,v=8.420666666666667,r=6167
layer_num=204,v=8.425333333333333,r=6166
layer_num=205,v=8.43,r=6165
layer_num=206,v=8.434666666666667,r=6164
layer_num=207,v=8.439333333333334,r=6163
layer_num=208,v=8.443999999999999,r=6162
layer_num=209,v=8.448666666666666,r=6161
layer_num=210,v=8.453333333333333,r=6160
layer_num=211,v=8.458,r=6159
layer_num=212,v=8.462666666666667,r=6158
layer_num=213,v=8.467333333333332,r=6157
layer_num=214,v=8.472,r=6156
layer_num=215,v=8.476666666666667,r=6155
layer_num=216,v=8.481333333333334,r=6154
layer_num=217,v=8.486,r=6153
layer_num=218,v=8.490666666666666,r=6152
layer_num=219,v=8.495333333333333,r=6151
layer_num=150,v=8.2,r=6220
layer_num=151,v=8.201666666666666,r=6219
layer_num=152,v=8.203333333333333,r=6218
layer_num=153,v=8.205,r=6217
layer_num=154,v=8.206666666666665,r=6216
layer_num=155,v=8.208333333333332,r=6215
layer_num=156,v=8.209999999999999,r=6214
layer_num=157,v=8.211666666666666,r=6213
layer_num=158,v=8.213333333333333,r=6212
layer_num=159,v=8.215,r=6211
layer_num=160,v=8.216666666666667,r=6210
layer_num=161,v=8.218333333333332,r=6209
layer_num=162,v=8.219999999999999,r=6208
layer_num=163,v=8.221666666666666,r=6207
layer_num=164,v=8.223333333333333,r=6206
layer_num=165,v=8.225,r=6205
layer_num=166,v=8.226666666666667,r=6204
layer_num=167,v=8.228333333333333,r=6203
layer_num=168,v=8.229999999999999,r=6202
layer_num=169,v=8.231666666666666,r=6201
layer_num=170,v=8.233333333333333,r=6200
layer_num=171,v=8.235,r=6199
layer_num=172,v=8.236666666666666,r=6198
layer_num=173,v=8.238333333333333,r=6197
layer_num=174,v=8.239999999999998,r=6196
layer_num=175,v=8.241666666666665,r=6195
layer_num=176,v=8.243333333333332,r=6194
layer_num=177,v=8.245,r=6193
layer_num=178,v=8.246666666666666,r=6192
layer_num=179,v=8.248333333333333,r=6191
layer_num=180,v=8.25,r=6190
layer_num=181,v=8.251666666666665,r=6189
layer_num=182,v=8.253333333333332,r=6188
layer_num=183,v=8.254999999999999,r=6187
layer_num=184,v=8.256666666666666,r=6186
layer_num=185,v=8.258333333333333,r=6185
layer_num=186,v=8.26,r=6184
layer_num=187,v=8.261666666666667,r=6183
layer_num=188,v=8.263333333333332,r=6182
layer_num=189,v=8.264999999999999,r=6181
layer_num=190,v=8.266666666666666,r=6180
layer_num=191,v=8.268333333333333,r=6179
layer_num=192,v=8.27,r=6178
layer_num=193,v=8.271666666666667,r=6177
layer_num=194,v=8.273333333333333,r=6176
layer_num=195,v=8.274999999999999,r=6175
layer_num=196,v=8.276666666666666,r=6174
layer_num=197,v=8.278333333333332,r=6173
layer_num=198,v=8.28,r=6172
layer_num=199,v=8.281666666666666,r=6171
layer_num=200,v=8.283333333333333,r=6170
layer_num=201,v=8.285,r=6169
layer_num=202,v=8.286666666666665,r=6168
layer_num=203,v=8.288333333333332,r=6167
layer_num=204,v=8.29,r=6166
layer_num=205,v=8.291666666666666,r=6165
layer_num=206,v=8.293333333333333,r=6164
layer_num=207,v=8.295,r=6163
layer_num=208,v=8.296666666666667,r=6162
layer_num=209,v=8.298333333333332,r=6161
layer_num=210,v=8.299999999999999,r=6160
layer_num=211,v=8.301666666666666,r=6159
layer_num=212,v=8.303333333333333,r=6158
layer_num=213,v=8.305,r=6157
layer_num=214,v=8.306666666666667,r=6156
layer_num=215,v=8.308333333333332,r=6155
layer_num=216,v=8.309999999999999,r=6154
layer_num=217,v=8.311666666666666,r=6153
layer_num=218,v=8.313333333333333,r=6152
layer_num=219,v=8.315,r=6151
layer_num=220,v=8.316666666666666,r=6150
layer_num=221,v=8.318333333333333,r=6149
layer_num=222,v=8.319999999999999,r=6148
layer_num=223,v=8.321666666666665,r=6147
layer_num=224,v=8.323333333333332,r=6146
layer_num=225,v=8.325,r=6145
layer_num=226,v=8.326666666666666,r=6144
layer_num=227,v=8.328333333333333,r=6143
layer_num=228,v=8.33,r=6142
layer_num=229,v=8.331666666666665,r=6141
layer_num=230,v=8.333333333333332,r=6140
layer_num=231,v=8.334999999999999,r=6139
layer_num=232,v=8.336666666666666,r=6138
layer_num=233,v=8.338333333333333,r=6137
layer_num=234,v=8.34,r=6136
layer_num=235,v=8.341666666666667,r=6135
layer_num=236,v=8.343333333333332,r=6134
layer_num=237,v=8.344999999999999,r=6133
layer_num=238,v=8.346666666666666,r=6132
layer_num=239,v=8.348333333333333,r=6131
layer_num=240,v=8.35,r=6130
layer_num=241,v=8.351666666666667,r=6129
layer_num=242,v=8.353333333333333,r=6128
layer_num=243,v=8.354999999999999,r=6127
layer_num=244,v=8.356666666666666,r=6126
layer_num=245,v=8.358333333333333,r=6125
layer_num=246,v=8.36,r=6124
layer_num=247,v=8.361666666666666,r=6123
layer_num=248,v=8.363333333333333,r=6122
layer_num=249,v=8.364999999999998,r=6121
layer_num=250,v=8.366666666666665,r=6120
layer_num=251,v=8.368333333333332,r=6119
layer_num=252,v=8.37,r=6118
layer_num=253,v=8.371666666666666,r=6117
layer_num=254,v=8.373333333333333,r=6116
layer_num=255,v=8.375,r=6115
layer_num=256,v=8.376666666666665,r=6114
layer_num=257,v=8.378333333333332,r=6113
layer_num=258,v=8.379999999999999,r=6112
layer_num=259,v=8.381666666666666,r=6111
layer_num=260,v=8.383333333333333,r=6110
layer_num=261,v=8.385,r=6109
layer_num=262,v=8.386666666666667,r=6108
layer_num=263,v=8.388333333333332,r=6107
layer_num=264,v=8.389999999999999,r=6106
layer_num=265,v=8.391666666666666,r=6105
layer_num=266,v=8.393333333333333,r=6104
layer_num=267,v=8.395,r=6103
layer_num=268,v=8.396666666666667,r=6102
layer_num=269,v=8.398333333333333,r=6101
layer_num=270,v=8.399999999999999,r=6100
layer_num=271,v=8.401666666666666,r=6099
layer_num=272,v=8.403333333333332,r=6098
layer_num=273,v=8.405,r=6097
layer_num=274,v=8.406666666666666,r=6096
layer_num=275,v=8.408333333333333,r=6095
layer_num=276,v=8.41,r=6094
layer_num=277,v=8.411666666666665,r=6093
layer_num=278,v=8.413333333333332,r=6092
layer_num=279,v=8.415,r=6091
layer_num=280,v=8.416666666666666,r=6090
layer_num=281,v=8.418333333333333,r=6089
layer_num=282,v=8.42,r=6088
layer_num=283,v=8.421666666666667,r=6087
layer_num=284,v=8.423333333333332,r=6086
layer_num=285,v=8.424999999999999,r=6085
layer_num=286,v=8.426666666666666,r=6084
layer_num=287,v=8.428333333333333,r=6083
layer_num=288,v=8.43,r=6082
layer_num=289,v=8.431666666666667,r=6081
layer_num=290,v=8.433333333333332,r=6080
layer_num=291,v=8.434999999999999,r=6079
layer_num=292,v=8.436666666666666,r=6078
layer_num=293,v=8.438333333333333,r=6077
layer_num=294,v=8.44,r=6076
layer_num=295,v=8.441666666666666,r=6075
layer_num=296,v=8.443333333333333,r=6074
layer_num=297,v=8.444999999999999,r=6073
layer_num=298,v=8.446666666666665,r=6072
layer_num=299,v=8.448333333333332,r=6071
layer_num=300,v=8.45,r=6070
layer_num=301,v=8.451666666666666,r=6069
layer_num=302,v=8.453333333333333,r=6068
layer_num=303,v=8.455,r=6067
layer_num=304,v=8.456666666666665,r=6066
layer_num=305,v=8.458333333333332,r=6065
layer_num=306,v=8.459999999999999,r=6064
layer_num=307,v=8.461666666666666,r=6063
layer_num=308,v=8.463333333333333,r=6062
layer_num=309,v=8.465,r=6061
layer_num=310,v=8.466666666666667,r=6060
layer_num=311,v=8.468333333333332,r=6059
layer_num=312,v=8.469999999999999,r=6058
layer_num=313,v=8.471666666666666,r=6057
layer_num=314,v=8.473333333333333,r=6056
layer_num=315,v=8.475,r=6055
layer_num=316,v=8.476666666666667,r=6054
layer_num=317,v=8.478333333333333,r=6053
layer_num=318,v=8.479999999999999,r=6052
layer_num=319,v=8.481666666666666,r=6051
layer_num=320,v=8.483333333333333,r=6050
layer_num=321,v=8.485,r=6049
layer_num=322,v=8.486666666666666,r=6048
layer_num=323,v=8.488333333333333,r=6047
layer_num=324,v=8.489999999999998,r=6046
layer_num=325,v=8.491666666666665,r=6045
layer_num=326,v=8.493333333333332,r=6044
layer_num=327,v=8.495,r=6043
layer_num=328,v=8.496666666666666,r=6042
layer_num=329,v=8.498333333333333,r=6041
layer_num=330,v=8.5,r=6040
layer_num=331,v=8.501666666666665,r=6039
layer_num=332,v=8.503333333333332,r=6038
layer_num=333,v=8.504999999999999,r=6037
layer_num=334,v=8.506666666666666,r=6036
layer_num=335,v=8.508333333333333,r=6035
layer_num=336,v=8.51,r=6034
layer_num=337,v=8.511666666666667,r=6033
layer_num=338,v=8.513333333333332,r=6032
layer_num=339,v=8.514999999999999,r=6031
layer_num=340,v=8.516666666666666,r=6030
layer_num=341,v=8.518333333333333,r=6029
layer_num=342,v=8.52,r=6028
layer_num=343,v=8.521666666666667,r=6027
layer_num=344,v=8.523333333333333,r=6026
layer_num=345,v=8.524999999999999,r=6025
layer_num=346,v=8.526666666666666,r=6024
layer_num=347,v=8.528333333333332,r=6023
layer_num=348,v=8.53,r=6022
layer_num=349,v=8.531666666666666,r=6021
layer_num=350,v=8.533333333333333,r=6020
layer_num=351,v=8.535,r=6019
layer_num=352,v=8.536666666666665,r=6018
layer_num=353,v=8.538333333333332,r=6017
layer_num=354,v=8.54,r=6016
layer_num=355,v=8.541666666666666,r=6015
layer_num=356,v=8.543333333333333,r=6014
layer_num=357,v=8.545,r=6013
layer_num=358,v=8.546666666666667,r=6012
layer_num=359,v=8.548333333333332,r=6011
layer_num=360,v=8.549999999999999,r=6010
layer_num=361,v=8.551666666666666,r=6009
layer_num=362,v=8.553333333333333,r=6008
layer_num=363,v=8.555,r=6007
layer_num=364,v=8.556666666666667,r=6006
layer_num=365,v=8.558333333333332,r=6005
layer_num=366,v=8.559999999999999,r=6004
layer_num=367,v=8.561666666666666,r=6003
layer_num=368,v=8.563333333333333,r=6002
layer_num=369,v=8.565,r=6001
layer_num=370,v=8.566666666666666,r=6000
layer_num=371,v=8.568333333333333,r=5999
layer_num=372,v=8.569999999999999,r=5998
layer_num=373,v=8.571666666666665,r=5997
layer_num=374,v=8.573333333333332,r=5996
layer_num=375,v=8.575,r=5995
layer_num=376,v=8.576666666666666,r=5994
layer_num=377,v=8.578333333333333,r=5993
layer_num=378,v=8.58,r=5992
layer_num=379,v=8.581666666666665,r=5991
layer_num=380,v=8.583333333333332,r=5990
layer_num=381,v=8.584999999999999,r=5989
layer_num=382,v=8.586666666666666,r=5988
layer_num=383,v=8.588333333333333,r=5987
layer_num=384,v=8.59,r=5986
layer_num=385,v=8.591666666666667,r=5985
layer_num=386,v=8.593333333333332,r=5984
layer_num=387,v=8.594999999999999,r=5983
layer_num=388,v=8.596666666666666,r=5982
layer_num=389,v=8.598333333333333,r=5981
layer_num=390,v=8.6,r=5980
layer_num=391,v=8.601666666666667,r=5979
layer_num=392,v=8.603333333333333,r=5978
layer_num=393,v=8.604999999999999,r=5977
layer_num=394,v=8.606666666666666,r=5976
layer_num=395,v=8.608333333333333,r=5975
layer_num=396,v=8.61,r=5974
layer_num=397,v=8.611666666666666,r=5973
layer_num=398,v=8.613333333333333,r=5972
layer_num=399,v=8.614999999999998,r=5971
layer_num=400,v=8.616666666666665,r=5970
layer_num=401,v=8.618333333333332,r=5969
layer_num=402,v=8.62,r=5968
layer_num=403,v=8.621666666666666,r=5967
layer_num=404,v=8.623333333333333,r=5966
layer_num=405,v=8.625,r=5965
layer_num=406,v=8.626666666666665,r=5964
layer_num=407,v=8.628333333333332,r=5963
layer_num=408,v=8.629999999999999,r=5962
layer_num=409,v=8.631666666666666,r=5961
layer_num=410,v=8.633333333333333,r=5960
layer_num=411,v=8.635,r=5959
layer_num=412,v=8.636666666666667,r=5958
layer_num=413,v=8.638333333333332,r=5957
layer_num=414,v=8.639999999999999,r=5956
layer_num=415,v=8.641666666666666,r=5955
layer_num=416,v=8.643333333333333,r=5954
layer_num=417,v=8.645,r=5953
layer_num=418,v=8.646666666666667,r=5952
layer_num=419,v=8.648333333333333,r=5951
layer_num=420,v=8.649999999999999,r=5950
layer_num=421,v=8.651666666666666,r=5949
layer_num=422,v=8.653333333333332,r=5948
layer_num=423,v=8.655,r=5947
layer_num=424,v=8.656666666666666,r=5946
layer_num=425,v=8.658333333333333,r=5945
layer_num=426,v=8.66,r=5944
layer_num=427,v=8.661666666666665,r=5943
layer_num=428,v=8.663333333333332,r=5942
layer_num=429,v=8.665,r=5941
layer_num=430,v=8.666666666666666,r=5940
layer_num=431,v=8.668333333333333,r=5939
layer_num=432,v=8.67,r=5938
layer_num=433,v=8.671666666666667,r=5937
layer_num=434,v=8.673333333333332,r=5936
layer_num=435,v=8.674999999999999,r=5935
layer_num=436,v=8.676666666666666,r=5934
layer_num=437,v=8.678333333333333,r=5933
layer_num=438,v=8.68,r=5932
layer_num=439,v=8.681666666666667,r=5931
layer_num=440,v=8.683333333333332,r=5930
layer_num=441,v=8.684999999999999,r=5929
layer_num=442,v=8.686666666666666,r=5928
layer_num=443,v=8.688333333333333,r=5927
layer_num=444,v=8.69,r=5926
layer_num=445,v=8.691666666666666,r=5925
layer_num=446,v=8.693333333333333,r=5924
layer_num=447,v=8.694999999999999,r=5923
layer_num=448,v=8.696666666666665,r=5922
layer_num=449,v=8.698333333333332,r=5921
layer_num=450,v=8.7,r=5920
layer_num=451,v=8.701666666666666,r=5919
layer_num=452,v=8.703333333333333,r=5918
layer_num=453,v=8.705,r=5917
layer_num=454,v=8.706666666666665,r=5916
layer_num=455,v=8.708333333333332,r=5915
layer_num=456,v=8.709999999999999,r=5914
layer_num=457,v=8.711666666666666,r=5913
layer_num=458,v=8.713333333333333,r=5912
layer_num=459,v=8.715,r=5911
layer_num=460,v=8.716666666666667,r=5910
layer_num=461,v=8.718333333333332,r=5909
layer_num=462,v=8.719999999999999,r=5908
layer_num=463,v=8.721666666666666,r=5907
layer_num=464,v=8.723333333333333,r=5906
layer_num=465,v=8.725,r=5905
layer_num=466,v=8.726666666666667,r=5904
layer_num=467,v=8.728333333333332,r=5903
layer_num=468,v=8.729999999999999,r=5902
layer_num=469,v=8.731666666666666,r=5901
layer_num=470,v=8.733333333333333,r=5900
layer_num=471,v=8.735,r=5899
layer_num=472,v=8.736666666666666,r=5898
layer_num=473,v=8.738333333333333,r=5897
layer_num=474,v=8.739999999999998,r=5896
layer_num=475,v=8.741666666666665,r=5895
layer_num=476,v=8.743333333333332,r=5894
layer_num=477,v=8.745,r=5893
layer_num=478,v=8.746666666666666,r=5892
layer_num=479,v=8.748333333333333,r=5891
layer_num=480,v=8.75,r=5890
layer_num=481,v=8.751666666666665,r=5889
layer_num=482,v=8.753333333333332,r=5888
layer_num=483,v=8.754999999999999,r=5887
layer_num=484,v=8.756666666666666,r=5886
layer_num=485,v=8.758333333333333,r=5885
layer_num=486,v=8.76,r=5884
layer_num=487,v=8.761666666666667,r=5883
layer_num=488,v=8.763333333333332,r=5882
layer_num=489,v=8.764999999999999,r=5881
layer_num=490,v=8.766666666666666,r=5880
layer_num=491,v=8.768333333333333,r=5879
layer_num=492,v=8.77,r=5878
layer_num=493,v=8.771666666666667,r=5877
layer_num=494,v=8.773333333333333,r=5876
layer_num=495,v=8.774999999999999,r=5875
layer_num=496,v=8.776666666666666,r=5874
layer_num=497,v=8.778333333333332,r=5873
layer_num=498,v=8.78,r=5872
layer_num=499,v=8.781666666666666,r=5871
layer_num=500,v=8.783333333333333,r=5870
layer_num=501,v=8.785,r=5869
layer_num=502,v=8.786666666666665,r=5868
layer_num=503,v=8.788333333333332,r=5867
layer_num=504,v=8.79,r=5866
layer_num=505,v=8.791666666666666,r=5865
layer_num=506,v=8.793333333333333,r=5864
layer_num=507,v=8.795,r=5863
layer_num=508,v=8.796666666666667,r=5862
layer_num=509,v=8.798333333333332,r=5861
layer_num=510,v=8.799999999999999,r=5860
layer_num=511,v=8.801666666666666,r=5859
layer_num=512,v=8.803333333333333,r=5858
layer_num=513,v=8.805,r=5857
layer_num=514,v=8.806666666666667,r=5856
layer_num=515,v=8.808333333333334,r=5855
layer_num=516,v=8.809999999999999,r=5854
layer_num=517,v=8.811666666666666,r=5853
layer_num=518,v=8.813333333333333,r=5852
layer_num=519,v=8.815,r=5851
layer_num=520,v=8.816666666666666,r=5850
layer_num=521,v=8.818333333333333,r=5849
layer_num=522,v=8.819999999999999,r=5848
layer_num=523,v=8.821666666666665,r=5847
layer_num=524,v=8.823333333333332,r=5846
layer_num=525,v=8.825,r=5845
layer_num=526,v=8.826666666666666,r=5844
layer_num=527,v=8.828333333333333,r=5843
layer_num=528,v=8.83,r=5842
layer_num=529,v=8.831666666666665,r=5841
layer_num=530,v=8.833333333333332,r=5840
layer_num=531,v=8.834999999999999,r=5839
layer_num=532,v=8.836666666666666,r=5838
layer_num=533,v=8.838333333333333,r=5837
layer_num=534,v=8.84,r=5836
layer_num=535,v=8.841666666666667,r=5835
layer_num=536,v=8.843333333333332,r=5834
layer_num=537,v=8.844999999999999,r=5833
layer_num=538,v=8.846666666666666,r=5832
layer_num=539,v=8.848333333333333,r=5831
layer_num=540,v=8.85,r=5830
layer_num=541,v=8.851666666666667,r=5829
layer_num=542,v=8.853333333333332,r=5828
layer_num=543,v=8.854999999999999,r=5827
layer_num=544,v=8.856666666666666,r=5826
layer_num=545,v=8.858333333333333,r=5825
layer_num=546,v=8.86,r=5824
layer_num=547,v=8.861666666666666,r=5823
layer_num=548,v=8.863333333333333,r=5822
layer_num=549,v=8.864999999999998,r=5821
layer_num=550,v=8.866666666666665,r=5820
layer_num=551,v=8.868333333333332,r=5819
layer_num=552,v=8.87,r=5818
layer_num=553,v=8.871666666666666,r=5817
layer_num=554,v=8.873333333333333,r=5816
layer_num=555,v=8.875,r=5815
layer_num=556,v=8.876666666666665,r=5814
layer_num=557,v=8.878333333333332,r=5813
layer_num=558,v=8.879999999999999,r=5812
layer_num=559,v=8.881666666666666,r=5811
